29,Ben Berard,Powell River Kings (BCHL),,22,Kyle Penney,Chilliwack Chiefs (BCHL),,20,Matt Stienburg,St. Andrew's College
29,9,Powell River Kings (BCHL),,22,2,Chilliwack Chiefs (BCHL),,20,9,St. Andrew's College
,,,,,,,,,,
19,Sullivan Mack,Salmon Arm Silverbacks (BCHL),,28,Brenden Locke,Cobourg Cougars (OJHL),,13,Jack Malone,Youngstown Phantoms (USHL)
19,-4,Salmon Arm Silverbacks (BCHL),,28,4,Cobourg Cougars (OJHL),,13,-1,Youngstown Phantoms (USHL)
,,,,,,,,,,
26,Ondrej Psenicka,Waterloo Black Hawks (USHL),,11,Kyle Betts,Powell River Kings (BCHL),,9,Jack O'Leary,Cedar Rapids RoughRiders (USHL)
26,15,Waterloo Black Hawks (USHL),,11,-4,Powell River Kings (BCHL),,9,2,Cedar Rapids RoughRiders (USHL)
,,,,,,,,,,
14,Ben Tupker,Carleton Place Canadians (CCHL),,21,Zach Tupker,Carleton Place Canadians (CCHL),,18,Justin Ertel,St. Andrew's College
14,2,Carleton Place Canadians (CCHL),,21,0,Carleton Place Canadians (CCHL),,18,3,St. Andrew's College
,,,,,,,,,,
5,Sebastian Dirven,Central Illinois Flying Aces (USHL),,3,Cody Haiskanen,Fargo Force (USHL),,30,Ian Shane,Bismarck Bobcats (NAHL)
5,6,Central Illinois Flying Aces (USHL),,3,2,Fargo Force (USHL),,30,0,Bismarck Bobcats (NAHL)
,,,,,,,,,,
10,Travis Mitchell,Omaha Lancers (USHL),,12,Tim Rego,Brooks Bandits (AJHL),,33,Nate McDonald,Markham Royals (OJHL)
10,8,Omaha Lancers (USHL),,12,1,Brooks Bandits (AJHL),,33,0,Markham Royals (OJHL)
,,,,,,,,,,
4,Hank Kempf,Muskegon Lumberjacks (USHL),,24,Sam Malinski,Bismark Bobcats (NAHL),,23,Liam Motley,Whitecourt Wolverines (AJHL)
4,6,Muskegon Lumberjacks (USHL),,24,10,Bismark Bobcats (NAHL),,23,-3,Whitecourt Wolverines (AJHL)
